name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Brazil,americas,235025000000.0,3,1,0,2,59,120694009.0
Afghanistan,asia,3641723322.0,0,0,0,0,2,13356511.0
Madagascar,asia,4042139901.0,0,0,0,0,4,8716553.0
Italy,europe,477257000000.0,6,1,4,1,49,56433883.0
Peru,americas,18134029180.0,0,0,0,0,15,17547610.0
Kuwait,asia,28638550499.0,0,0,0,0,43,1368677.0
Nepal,asia,1945916583.0,0,0,0,0,2,15016402.0
Costa Rica,americas,4831447001.0,0,0,0,0,13,2389977.0
Luxembourg,europe,6232005656.0,0,0,0,0,1,364150.0
France,europe,701288000000.0,9,5,2,2,82,55161527.0
Ireland,europe,21773901117.0,0,0,0,0,17,3412800.0
Republic of Congo,africa,14394927495.0,0,0,0,0,5,26358908.0
Nigeria,africa,2508524186.0,0,0,0,0,21,5989004.0
Venezuela,americas,59116511628.0,0,0,0,0,15,15182611.0
Ecuador,americas,17881514683.0,0,0,0,0,5,7989186.0
Benin,africa,1405251547.0,0,0,0,0,11,3717165.0
Australia,australia,149775000000.0,4,2,0,2,54,14692000.0
Algeria,africa,42345277342.0,0,0,0,0,23,19221665.0
Cuba,americas,19912889861.0,8,2,2,4,101,9849459.0
Cameroon,africa,6740756569.0,0,0,0,0,6,8621406.0
Zambia,africa,3829500000.0,0,0,0,0,7,5851825.0
East Germany,europe,950291000000.0,48,25,13,10,81,78288576.0
Senegal,africa,4435050397.0,0,0,0,0,20,5583165.0
Guatemala,americas,7878700000.0,0,0,0,0,1,7283459.0
Zimbabwe,africa,6678868200.0,5,5,0,0,10,7408624.0
Belgium,europe,126829000000.0,0,0,0,0,27,9859242.0
Dominican Republic,americas,6761300000.0,0,0,0,0,1,5803927.0
Iraq,asia,53405689130.0,0,0,0,0,12,13653354.0
Sierra Leone,africa,1100685845.0,0,0,0,0,14,3388495.0
Spain,europe,232767000000.0,10,1,9,0,75,37491165.0
Netherlands,europe,195152000000.0,1,0,0,1,38,14149800.0
Uganda,africa,1244610000.0,0,0,0,0,7,12442334.0
Denmark,europe,71127528700.0,2,1,1,0,14,5123027.0
Finland,europe,53645202423.0,0,0,0,0,6,4779535.0
Trinidad and Tobago,americas,6235833333.0,0,0,0,0,10,1084744.0
Sweden,europe,140929000000.0,4,2,2,0,55,8310531.0
Malta,europe,1250242108.0,0,0,0,0,2,316645.0
Guyana,americas,603200000.0,1,0,0,1,3,780153.0
Mali,africa,1759690812.0,0,0,0,0,1,7090126.0
Switzerland,europe,119008000000.0,1,1,0,0,18,6319408.0
Syria,asia,13062421025.0,0,0,0,0,30,8930774.0
Bulgaria,europe,19839230769.0,24,2,11,11,97,8861535.0
Jamaica,americas,2679409453.0,0,0,0,0,9,2162846.0
Seychelles,africa,147357222.8,0,0,0,0,5,63261.0
Angola,africa,5930503401.0,0,0,0,0,6,8341289.0
Portugal,europe,32896521426.0,0,0,0,0,11,9766312.0
Mexico,americas,205139000000.0,1,0,0,1,20,67761372.0
Cyprus,europe,2154311277.0,0,0,0,0,3,685405.0
India,asia,186325000000.0,2,2,0,0,17,698952844.0
United Kingdom,europe,564948000000.0,10,1,5,4,91,56314216.0
Iceland,europe,3386501918.0,0,0,0,0,3,228138.0
Austria,europe,82058912465.0,0,0,0,0,11,7549433.0
Colombia,americas,33400735644.0,0,0,0,0,4,26900506.0
Greece,europe,56829663469.0,1,0,0,1,8,9642505.0
Sri Lanka,asia,4024621900.0,0,0,0,0,1,15035834.0
Nicaragua,americas,2189347368.0,0,0,0,0,3,3265519.0
Botswana,africa,1060923829.0,0,0,0,0,1,897868.0
