name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Brazil,americas,863723000000.0,0,0,0,0,1,169785250.0
Canada,americas,631813000000.0,14,4,7,3,60,30155173.0
Italy,europe,1270050000000.0,7,1,4,2,59,56906744.0
Czech Republic,europe,66490372105.0,3,3,0,0,20,10294373.0
Kenya,africa,14093998844.0,0,0,0,0,1,30250488.0
Monaco,europe,2934578821.0,0,0,0,0,5,31556.0
Lithuania,europe,11240360898.0,0,0,0,0,3,3549331.0
Mongolia,asia,1124440249.0,0,0,0,0,3,2355664.0
France,europe,1503110000000.0,4,1,0,3,57,60186288.0
Andorra,europe,1211932398.0,0,0,0,0,2,64142.0
Georgia,asia,3613498175.0,0,0,0,0,4,4243607.0
Slovakia,asia,29856000671.0,0,0,0,0,18,5390516.0
Ireland,europe,90082051923.0,0,0,0,0,1,3712696.0
Argentina,americas,298948000000.0,0,0,0,0,5,36063459.0
Norway,europe,154163000000.0,9,5,3,1,34,4431464.0
Uzbekistan,asia,14988971211.0,0,0,0,0,1,24051000.0
Israel,asia,115933000000.0,0,0,0,0,1,5971000.0
Australia,australia,398899000000.0,0,0,0,0,17,18711000.0
Venezuela,americas,91331203433.0,0,0,0,0,1,23288564.0
United States of America,americas,9062820000000.0,10,9,0,1,61,275854000.0
Slovenia,europe,22146232112.0,0,0,0,0,12,1981629.0
Virgin Islands,americas,9062820000000.0,0,0,0,0,2,275854000.0
Germany,europe,2238990000000.0,8,4,2,2,58,82047195.0
Bosnia and Herzegovina,europe,4116699437.0,0,0,0,0,6,3734337.0
Armenia,asia,1893726437.0,0,0,0,0,1,3108687.0
Puerto Rico,americas,54086400000.0,0,0,0,0,3,3781101.0
Russian Federation,europe,270955000000.0,10,4,5,1,44,147670692.0
China,asia,1029040000000.0,3,0,1,2,9,1241935000.0
Kazakhstan,europe,22135245413.0,0,0,0,0,22,15071300.0
Poland,europe,174388000000.0,0,0,0,0,13,38663481.0
Spain,europe,619215000000.0,0,0,0,0,3,40223509.0
Ukraine,europe,41883241472.0,0,0,0,0,14,50143939.0
Netherlands,europe,438008000000.0,2,0,2,0,13,15707209.0
Denmark,europe,176992000000.0,1,0,1,0,9,5304219.0
Turkey,europe,275769000000.0,0,0,0,0,1,61329676.0
Finland,europe,134039000000.0,1,0,0,1,8,5153498.0
Macedonia,europe,3756208791.0,0,0,0,0,1,2012057.0
Moldova,europe,1698717505.0,0,0,0,0,2,3652732.0
Chinise Taipei,asia,408000000000.0,0,0,0,0,4,21928591.0
Sweden,europe,268916000000.0,0,0,0,0,27,8850974.0
Belarus,europe,15222012660.0,2,0,0,2,15,10069000.0
Hungary,europe,48706787306.0,0,0,0,0,10,10266570.0
Switzerland,europe,295045000000.0,3,1,1,1,36,7110001.0
New Zealand,asia,56227169851.0,0,0,0,0,1,3815000.0
Bulgaria,europe,14942172234.0,1,1,0,0,11,8256786.0
Romania,europe,41694118973.0,0,0,0,0,15,22507344.0
Estonia,europe,5665917232.0,0,0,0,0,5,1386156.0
Liechtenstein,europe,2479721341.0,0,0,0,0,1,32311.0
South Koreas,asia,374241000000.0,2,1,1,0,27,46286503.0
Azerbaijan,asia,4446370371.0,0,0,0,0,1,7913000.0
United Kingdom,europe,1650170000000.0,1,0,0,1,14,58487141.0
Iceland,europe,8494094643.0,0,0,0,0,5,274047.0
Austria,europe,218260000000.0,2,0,2,0,21,7976789.0
Latvia,europe,7145882283.0,0,0,0,0,14,2410019.0
Greece,europe,144428000000.0,0,0,0,0,2,10720509.0
Japan,asia,4032510000000.0,0,0,0,0,16,126400000.0
